product_code,review_content,rating,emotion_keyword,reviewer_id,review_date,helpful_count,comment_count
S000217467412,기사 챗gtp만 찿아봐도 다 있는 내용 같은데.. 짜집기한거 같은 저는 별롭니다. 이첵,3,쉬웠어요,eu****,2025-11-01,27,2
S000217467412,"31 대한민국의 트렌드를 10가지로 나누어 분석하십니다

전반부는 전년도 분석한 것에 대한 검증 

후반부는 다가오는 2026년에 대한 트렌드 10가지를 말해주십니다
2026트렌트코리아에서 선정한 2026트렌드로는 
휴먼인더루프
필코노미
제로클릭
레디코어
AX조직
픽셀라이프
프라이스 디코딩
건강지능 HQ
1.5가구
근본이즘입니다
구체적인 내용을 적거나 그대로 옮기는 것은 리뷰 가이드 라인에 위배되니 되도록 책을 구입하여 보시는 것을 추천하구요 일부는 오디오 북으로 미래의 창에서 제공하기도 하니 참고 바랍니다
내용을 그대로 옮기는 것은 옳지않다고 생각하여 느낌위주로 정리해보겠습니다 

[리뷰 콘텐츠 가이드라인] ""트렌드 코리아 2021"" 책 리뷰를 하고 싶은데... 책 리뷰, 어디까지 제작 가능한가요?
https://www.youtube.com/watch?v=e9P51S6IAQw

이 책의 가장 큰 장점입니다
일독을 권합니다


32 저자께서 박학 다식하시구요 좋은 책의 소개 및 신조어를 많이 소개해주십니다 
매우 유익합니다
참고 바랍니다

33 10개 챕터 하나하나가 모두 명강의이고 단행본으로 나와도 
손색없을 좋은 내용들 입니다
진심으로 일독을 권합니다

34 일부는 요즈음 제가 공부하는 시험과 겹치는 내용이기도 하여 흥미롭게 보았습니다 
예를들어 
255페이지전후 KPI 와 OKR은 인사관리에서 중요하게 다루는 내용인데 이 곳에서 또 만나서 반갑네요 
일독을 권합니다


35 하루 한 챕터씩 보았구요 보면서 밑줄도 치고 포스트잇으로 또 볼 것 정리할 것 등등 공부하면서 보았습니다
필사해보기도 하였구요 
이 내용들을 현실에 적용해보면 삶이 더 알차질 듯합니다


36 뒤에 주석부분 자세하구요 
공저자 소개 많은 부분 할애하셨고
Trenders 날 2026 집필진 소개해주셨네요 참석하신분들께서 영광스럽게 생각하셨을거라 생각되구요 
트렌드코리아2027에 실릴 트렌드코리아2026의 사례모집 안내도 있습니다 
책 보시다가 
아 이거 이러한 사례가 있다고 생각되시면 투고하셔서 다음연도 책에 정보를 더해주실 수 있는 기회를 주셨네요 
저도 잘 조사해보고 투고 해보려고 기획중입니다
감사합니다",4,최고예요,wz*****,2025-10-06,8,0
S000217467412,고2 아들이 추석 때 본답니다.,4,추천해요,or*****,2025-09-26,5,0
S000217467412,책 내용은 좋으나 품질상태가 최악이네요 받자마자 보니까 책 접합부 부분이 찢어져있네요  리뷰보고 걱정했는데 설마가 현실이네요 교보문고가 좋은일 한다고 해서 여기서 샀는데 다시는 여기서 안사게 되었네요,1,최고예요,ki****,2025-10-30,4,1
S000217467412,해마다 기다리게 되는…필독서입니다,4,추천해요,la******,2025-09-17,4,0
S000217467412,1년 기다렸습니다 바로 예약구매했습니다,4,도움돼요,jy*****,2025-09-22,3,0
S000217467412,2018부터 쭈욱 보던 책입니다. 다들 꼭 읽어보시면 아주 좋습니다.,4,추천해요,wj********,2025-10-19,2,0
S000217467412,26년을 준비하는데 도움이 됐어요^^,4,집중돼요,hm*****,2025-10-06,2,0
S000217467412,트렌드에대해서 잘설명해주시네요.도움되요.,4,도움돼요,wa****,2025-11-26,1,0
S000217467412,"현대사회를 살아감에 읽어두면 분명히 도움이
되는 책이라 생각해요.",4,추천해요,qk********************,2025-11-08,1,0
S000217467412,세상이 빨리 바뀌는 만큼 필요한 책인 것 같아요.,4,도움돼요,bo********,2025-10-07,1,0
S000217467412,매년마다 꼭 챙겨 보고 있어요.,4,추천해요,ir******,2025-10-07,1,0
S000217467412,항상 소비트렌드를 알기 쉽게 정리해주세요.,4,최고예요,qn******,2026-01-09,0,0
S000217467412,워낙유명한챡이라서 믿고 읽는다고 합니다,4,도움돼요,fu******,2026-01-09,0,0
S000217467412,"작년에는 읽지 못해서 이번에 2026년에 새로운마음가짐으로 알고싶어서 샀는데 트렌드를 제대로 알 수있고 나도 거기에 속해 있는지 알아 갈 수 있어서 좋습니다.
그리고 작년에 읽지 못해서 얕게 알았던 부분 설명도 되있어서 이해하기 쉬웠어요.",4,도움돼요,ym*****,2026-01-09,0,0
S000217467412,빠른 변화를 느끼며 흐름에 적응할 수 있다는 마음을 읽었다,4,도움돼요,ro*******,2026-01-07,0,0
S000217467412,새해를 예측하기 위한 최고의 선택!,4,추천해요,si******,2026-01-07,0,0
S000217467412,2026 취업준비에 필수라고 생각합니당,4,도움돼요,db*******,2026-01-06,0,0
S000217467412,매년 트랜드 분석을 위해 읽어요,4,도움돼요,sj******,2026-01-06,0,0
S000217467412,현재  돌아가는 트랜드?,4,도움돼요,83*****,2026-01-06,0,0
S000217467412,역시 트코 2026을 맞이하기전 읽었습니다,4,쉬웠어요,jj******,2026-01-05,0,0
S000217467412,저희 남편은 매년 코리아 트렌드를 구입한답니다.,4,도움돼요,ag*******,2026-01-04,0,0
S000217467412,내용이 저한테는 조금 어려워서 두번은 읽어야 할 것 같아요. 몇번을 반복해서 집중해서 읽다보면 도움이 될 거라 봅니다.,4,도움돼요,ka********,2026-01-04,0,0
S000217467412,기획에 참고하고자 늘 연말에 구매해서 연초까지 정독하고 있습니다!,4,도움돼요,ke****,2026-01-04,0,0
S000217467412,이런 것도 있구나 처음 읽어봤는데 많이 배워갑니다,4,도움돼요,wo******,2026-01-04,0,0
S000217467412,매년 변화하는 트렌드를 정리할 수 있어서 좋습니다,4,추천해요,li*****,2026-01-04,0,0
S000217467412,"매년 구입합니다.
잘읽을께요",4,최고예요,hr*****,2026-01-03,0,0
S000217467412,트렌드 코리아 2026,4,도움돼요,pa********,2026-01-03,0,0
S000217467412,오래 부재 되고 싶어서 사 봤습니다,4,집중돼요,ju*******,2026-01-03,0,0
S000217467412,2026년 트랜드를 빠르게 접할 수 있어요,4,추천해요,dl********,2026-01-03,0,0
S000217467412,키워드 뽑는 솜씨가 예술이세요,4,도움돼요,be********,2026-01-03,0,0
S000217467412,새해시작할때 한번쯤 읽으면좋은책,3,쉬웠어요,je****,2026-01-03,0,0
S000217467412,AI 영향력에 대한 부분이 가장 공감됐어요. 현대인에게 필독서라고 생각해요.,4,도움돼요,ch*****,2026-01-02,0,0
S000217467412,좋은 책입니다. 감사합니다,4,집중돼요,mm*****,2026-01-02,0,0
S000217467412,새로운 내용을 알게되어 좋았습니다.,4,도움돼요,jj********,2026-01-02,0,0
S000217467412,"꒰ঌ 2026 트렌드 코리아 리뷰 ໒꒱
AI라는 '기술의 다리' 위에 서서, 나만의 '빈칸'을 꿈꾸다💭🪽
​2025년의 마지막 날, 올해의 마지막 책으로 <트렌드 코리아 2026>을 덮었다. 매년 읽는 시리즈지만 이번에는 유독 마음이 복잡했다. 세상은 AI로 너무나 빠르게 변하고 있는데, 그 속에서 '나'라는 사람은 휩쓸려가는 중인지 어디쯤 서 있는지 고민이 많았기 때문이다. 하지만 책장을 덮고 나니 막연한 불안감 대신, 2026년을 어떻게 설계해야 할지 기분 좋은 밑그림이 그려지는 기분이 들어 리뷰를 쓰게 되었다🫠

​1. 경계가 무너진 세상, '무경계 소비자'로 산다는 것
​책에서 가장 먼저 눈에 들어온 건 '무경계 소비자'와 '옴니보어' 현상이었다. 요즘은 정말 나이나 성별, 국적이 소비의 기준이 되지 않는 것 같다. 당장 내 주변만 봐도 그렇다. 지인이 야구팀 굿즈를 사려고 오픈런과 티켓팅을 하고, 좋아하는 브랜드가 야구 구단과 콜라보했을 때 품절과 플미 사태가 발생하는 걸 보며 '취향이 곧 계급'이라는 말을 실감했다. ​경영 수업 때 배운 '가치소비'가 이제는 '빨간 운동화 효과'처럼 남의 눈치를 보지 않고 나만의 개성을 드러내는 수단이 되었다는 분석도 흥미로웠다. 이제 시장의 승부처는 ""누가 더 세밀하게 개인의 취향을 읽어내느냐""에 달려있다는 생각에 고개가 끄덕여졌다.

​2. '효율 강박'을 넘어 '레디코어'로 향하는 우리🤔
​공감하며 읽었던 '레디코어' 파트에서는 마치 내 일상을 들킨 것 같아 살짝 찔리기도 했다. 사실 우리 세대는 어릴 때부터 '자기주도학습'과 '생활계획표'에 단련된 세대 아닌가? 나 역시 노션이나 구글 캘린더에 루틴이나 시간대별로 꼼꼼히 기록하곤 한다. 누군가는 이걸 '효율 강박'이라고 하겠지만, 사실 이건 불확실한 미래를 내 통제 아래 두고 싶어 하는 본능적인 생존 전략이었다.
​앞으로는 AI가 내 취향을 분석해 알아서 제안해 주는 '제로클릭' 환경이 이 준비 본능을 더 가속화할 것이라고 한다. 하지만 책에서 강조한 빈칸의 미학을 남겨두라는 조언이 가슴에 와닿았다. 모든 것이 데이터로 예측되고 효율로 채워지는 세상일수록, 때로는 계획에 없던 우연이 들어올 틈을 남겨두는 여유가 2026년의 진짜 차별점이 되지 않을까?

​3. '켄타우로스'와 'AI 조련사', 인간의 머리를 지키는 일
​가장 인상 깊었던 이미지는 단연 '켄타우로스'였다. AI라는 압도적인 연산 능력의 '하체'와 인간 고유의 비판적 사고라는 '상체'가 결합한 하이브리드 인재. 책에서는 AI가 인간을 대체하는 게 아니라, 인간의 지혜와 전문성을 강화하는 도구가 되어야 한다고 말한다. ​특히 ""업무 전문성이 낮은 사람이 AI에 의존하면 오히려 생산성이 떨어진다""는 하버드 실험 결과는 정말 좀 충격적이었다. 단순히 프롬프트를 잘 입력하는 기술이 중요한 게 아니었다. AI가 던져주는 결과물의 편향을 꿰뚫어 보고, ""이걸 왜 해야 하는가(What & Why)""를 결정하는 AI 조련사로서의 역량이 본질이었다. 내 전공 분야에 대한 깊이 있는 전문성이 뒷받침되지 않는다면, 나는 그저 AI라는 말 뒤에 끌려가는 존재가 될 뿐이라는 경각심을 갖게 됐다.
​4. '아보하'와 '감정 포비아', 무탈한 하루의 미학
​마지막으로 2026년을 살아갈 나에게 가장 큰 위로가 된 키워드는 2025에서부터 이어온 '아보하(아주 보통의 하루)'였다. ""무조건 행복해야 한다""는 강박에서 벗어나, 무난하고 안온한 일상을 가치 있게 여기는 태도. 작년 영화 <인사이드 아웃 2>를 보며 주인공 라일리의 불안에 감정이입해 펑펑 울었던 기억이 난다. 그땐 내가 왜 그렇게 슬펐는지 몰랐는데, 책을 보니 이해가 갔다. 우리는 부정적인 감정을 '불필요한 것'으로 치부하며 회피하려 하지만, 사실 그 어두운 감정들까지도 내 안의 균형을 찾는 소중한 재료였다. 우리는 부정적인 감정을 '불필요한 것'으로 치부하며 회피하려 하지만, 사실 그 어두운 감정들까지도 내 안의 균형을 찾는 소중한 부분들이자 나라는 존재가 살아가게 해주는 원동력과도 같다. 2026년에는 맹목적으로 표준화된 감정에 따르기보다 억지로 웃기보다 내 안의 모든 감정을 온전히 사랑해 주는 연습을 해보려 한다.

마치며: 2026년, 나의 키워드는 '근본'이다.
​세상이 아무리 변해도, 결국 끝까지 살아남는 건 '인간다움'이라는 근본이라고 생각한다. AI라는 강력한 다리를 얻었으니, 나는 그 위에 올라타 더 멀리 보고 더 깊게 사유하는 조련사가 되고 싶다. 사고의 확장을 통해 급변하는 시대에서 파도에 휩쓸리는 수동적 존재가 아니라 능동적인 인간이 되고 싶다.
​12월 31일의 마지막 문장으로 이 책을 선택한 건 올해 가장 잘한 일이다. 2026년, 나는 나만의 '빈칸'을 멋지게 채워가는 붉은 말, 책에서 언급된 주체적인 켄타우로스가 되는 것이 내 꿈이다🫶✨️",4,집중돼요,ki******,2025-12-31,0,0
S000217467412,이제 매년 구매하는 책,4,추천해요,sk*****************,2025-12-31,0,0
S000217467412,"2025년이 저물어 갑니다 2026년을 시작하면서 새롭게 다짐하는 오늘 2025년 마지막 날입니다
2026년의 트렌드를 읽어야 하고 나의 성장을 위해서 필요한 책입니다 도움이 됩니다",4,도움돼요,72******,2025-12-31,0,0
S000217467412,내용 좋네요~추천 합니다.,4,도움돼요,sm*********************,2025-12-31,0,0
S000217467412,"2026년의 트렌드에 대한 정보를 얻을 수 있으며, 왜 그 키워드가 트렌드가 되었는지/될 예정인지에 대해 알 수 있기에 그 부분을 공부할 수 있어서 좋았습니다.",4,도움돼요,do**************,2025-12-31,0,0
S000217467412,2026 트렌드코리아,4,집중돼요,ka*******,2025-12-30,0,0
S000217467412,재미있게 읽었습니다.,4,집중돼요,lu****,2025-12-29,0,0
S000217467412,"새로운 용어들이  많아  공부는 되는듯하나
제가 생각한 2026트렌드? 와는  달라서",1,도움돼요,af******************,2025-12-29,0,0
S000217467412,좋습니다 잘 읽을게요,4,도움돼요,pz********,2025-12-29,0,0
S000217467412,"내용은 쉽고 정리는 잘돼있습니다.
다만 ai시대라고 글을 chat gpt로 쓴게 너무 티가 납니다.
이 부분은 너무 실망입니다.",3,쉬웠어요,ik**************,2025-12-29,0,0
S000217467412,"결혼을 앞두고 『트렌드 코리아 2026』을 읽었어요. 이 책은 유행 예측을 넘어 앞으로의 일, 소비, 가족의 형태까지 생각하게 만들어줍니다. ㅎㅎ 
특히 ‘레디코어’와 ‘1.5 가구’ 개념이 인상 깊었고, 결혼·주거·커리어·자녀 계획을 미리 고민 중인 예비부부에게 많은 대화를 열어주는 책이었어요. 
미래를 준비하는 분들께 추천합니다!!",4,추천해요,co*******,2025-12-28,0,0
S000217467412,매년 반드시 필요한 책입니다,4,최고예요,br**********,2025-12-27,0,0
S000217467412,"AI와 인간의 공존, 소비 변화 흐름을 잡아주는 책. 거대한 변화 속에서 어디에 집중해야 할지 방향 감각을 준다. 내년 계획 세울 때 곁에 두고 싶은 나침반 같았다.",4,집중돼요,ki*****,2025-12-27,0,0
S000217467412,1년을 생각하게 만들어주는 책,4,추천해요,ky*****************,2025-12-26,0,0
S000217467412,"2026 트랜드를 알 수 있는 책! 1.5인가구 , 픽셀시대 등 알기쉽게 이름붙인 점이 좋아",4,도움돼요,lo*****,2025-12-26,0,0
S000217467412,많은 도움 되었어요,4,도움돼요,78*****************,2025-12-26,0,0
S000217467412,한번쯤 가볍게 읽으며 인사이트 얻을것들이 있어요,4,도움돼요,re*****,2025-12-26,0,0
S000217467412,매년 구입하는데 2026년도도 구입했습니다.,4,추천해요,ha********,2025-12-25,0,0
S000217467412,"잘받았어요~
선물하려고샀어요^^",4,도움돼요,ju*********************,2025-12-23,0,0
S000217467412,어렵긴 하지만 새로운 것들을 많이 배웠어요,4,도움돼요,yh*****************,2025-12-23,0,0
S000217467412,실용적으로 좋아요.,4,도움돼요,ep***,2025-12-23,0,0
S000217467412,내년을 준비해요!!,4,도움돼요,in****,2025-12-23,0,0
S000217467412,요즘 아니 미래의 트렌드가 어떻게 될 것인가를 알게 해주는 책이었습니다,4,도움돼요,ph*****,2025-12-22,0,0
S000217467412,흥미롭게 잘 읽었습니다,4,도움돼요,js*******,2025-12-21,0,0
S000217467412,2025년의 경재적 사건들과 트렌드를 쉽게 키워드로 정래해준 책입니다.,4,쉬웠어요,ki********,2025-12-20,0,0
S000217467412,"매년 구입해서 읽고 있어요~
아직 읽기 시작은 못했지만 2026년 시작된 꼭 읽을 예정",4,도움돼요,ha******************,2025-12-19,0,0
S000217467412,이제 트렌드 코리아는 필독서,4,추천해요,ry********,2025-12-19,0,0
S000217467412,"항상 새로운 해를 맞이하기 전 제일 먼저 만나보는 책이랍니다. 새로운 한 해의 추구하는 방향을 알아가고, 미리 준비하고 픈 사람들에게 추천드려요",4,추천해요,ye*******,2025-12-18,0,0
S000217467412,서점에 가서 읽다가 재밌어서 구매한 책이에요.,4,추천해요,bu******,2025-12-18,0,0
S000217467412,주식 할때 도움되요,4,도움돼요,na****,2025-12-17,0,0
S000217467412,내용이 알차고 재밌게읽었어요,4,도움돼요,hi******,2025-12-17,0,0
S000217467412,트랜드를 읽고싶어서 구매,4,도움돼요,yu********,2025-12-17,0,0
S000217467412,26년 트렌드를 미리 읽다,4,추천해요,hs****,2025-12-16,0,0
S000217467412,2026년 트렌드 좋아요,4,집중돼요,un*****,2025-12-16,0,0
S000217467412,매년 한해의 흐름을 읽어볼 수 있어서 좋습니다.,4,추천해요,ju******,2025-12-15,0,0
S000217467412,선물용으로 구매합니다!!!!!~~,4,최고예요,01*****,2025-12-15,0,0
S000217467412,겨울이되면 찾게되는 책이에요 !,3,쉬웠어요,ha*******,2025-12-14,0,0
S000217467412,매년 읽고있는 책입니다. 좋타툐,4,도움돼요,kd*****,2025-12-13,0,0
S000217467412,매년 잘 읽고 있습니다.^^,4,도움돼요,al******,2025-12-13,0,0
S000217467412,매년 꼭 읽는 책. 몰랐던 트랜드를 알 수 있어 도움이 됩니다~,4,도움돼요,dr******,2025-12-13,0,0
S000217467412,사회전체 트렌드를 읽을 수있습니다.,4,도움돼요,sk***,2025-12-13,0,0
S000217467412,아직 읽지 않았지만 기대됩니다~♡,4,도움돼요,sw******,2025-12-13,0,0
S000217467412,2026년을 잘 시작하고 싶어서 구매했어요,4,도움돼요,el******,2025-12-13,0,0
S000217467412,올해의 트렌드에 관하여 알게 되었습니다.,4,집중돼요,t1********,2025-12-13,0,0
S000217467412,너무 좋아요. 잘 읽겠습니다.,4,집중돼요,mi*******************,2025-12-12,0,0
S000217467412,일때문에 매년 구매해서 봅니다 몰입감있게 볼만합니다,4,집중돼요,in*******,2025-12-12,0,0
S000217467412,ai시대에 대해서 어느정도 이해되요,4,도움돼요,di*****,2025-12-12,0,0
S000217467412,👍,4,최고예요,bl******,2025-12-12,0,0
S000217467412,제목이 모든것을 설명하고 있네요,4,추천해요,en***,2025-12-12,0,0
S000217467412,책을 잘 읽고 있습니다 정독과 필요한 부분을 같이 보고 있습니다 시대를 읽는 통찰력과 연구에 감사합니다,4,최고예요,ls***,2025-12-11,0,0
S000217467412,해마다 트렌드를 읽는데 도움이됩니다.,4,도움돼요,le****,2025-12-11,0,0
S000217467412,좋아요~~~~~~~~~,4,도움돼요,cn******,2025-12-10,0,0
S000217467412,정말 재미있었습니다 아주 유익합니다~,4,집중돼요,gy****,2025-12-10,0,0
S000217467412,이번달안으로 꼭 마스터해서 읽어보려고 구매했어요,4,추천해요,dl*******************,2025-12-10,0,0
S000217467412,좋아해요 ㅎㅎ 추천합니다,4,집중돼요,cs**************,2025-12-10,0,0
S000217467412,가볍게 쓱 읽고 넘어가기 좋습니다.,4,쉬웠어요,ph******,2025-12-10,0,0
S000217467412,2026년도 트렌드를 파악할 수 있어요,4,도움돼요,ca******,2025-12-09,0,0
S000217467412,꼭읽어야할 2026트렌드,4,최고예요,gu********,2025-12-09,0,0
S000217467412,좋은 도서 감사합니다~~~,4,도움돼요,ro****,2025-12-08,0,0
S000217467412,역시 AI의 대가가 아닐지 않을까 싶습니다. 정말 추천합니다,4,최고예요,yh*******,2025-12-07,0,0
S000217467412,재미있게 잘 읽었습니다.,4,최고예요,ja********,2025-12-07,0,0
S000217467412,매년 재미있게 잘 읽고 있습니다.,4,추천해요,ja********,2025-12-07,0,0
S000217467412,꼭읽고싶더책인데 드디어 주문햇네요 너무 기대됩니다 잘읽어보겠습니다,4,추천해요,dl*******************,2025-12-07,0,0
S000217467412,역시 시대의 흐름이 보여요,4,집중돼요,ya****,2025-12-07,0,0
S000217467412,갑자기 26년의 트렌드가 궁금해서 읽어 봅니다.,4,도움돼요,ji*****,2025-12-05,0,0
S000217467412,해마다 기다리는 책입니다,4,도움돼요,pa***,2025-12-05,0,0
S000217467412,요즘 우리나라 트랜드를 알수 있어서 좋았습니다.,3,도움돼요,ta*****,2025-12-05,0,0
S000217467412,매 해마다 반드시 읽어야 하는 책!,4,추천해요,xo*******,2025-12-04,0,0
S000217467412,매년 필수책으로 구매합니다,4,도움돼요,ek***************,2025-12-04,0,0
S000217467412,2026년 트렌드에 대해 알 수 있어 감사합니다.,4,도움돼요,iy*****,2025-12-04,0,0
S000217467412,아부지한테 선물 드리니 아주 좋아하셨습니다~,4,집중돼요,gy****,2025-12-04,0,0
S000217467412,매년 소비 트렌드에 대한 감각을 잃지 않게 도와주는 책,2,도움돼요,su******,2025-12-03,0,0
S000217467412,어렵지만 매년 후의 트렌드를 알기위에 현광펜들고 읽고있어요.,4,추천해요,jo*******,2025-12-03,0,0
S000217467412,"해마다 읽어요^^ 단어가  점점 어려워진다는 단점만 빼면 ㅎㅎ 트렌드 이해하기에 딱 좋은 것 같아요!!^^ 
언제나 노력해주셔서 감사합니다^^",4,도움돼요,ql*****,2025-12-03,0,0
S000217467412,"경제, 사회, 문화 전반의 트렌드를 읽을수 있어 좋습니다.",4,도움돼요,ky*****,2025-12-03,0,0
S000217467412,유익한 내용인 것 같습니다,4,집중돼요,ch*****,2025-12-03,0,0
S000217467412,재미있게 잘 봤습니다. 두번 읽어봤어요!,4,도움돼요,hi****,2025-12-02,0,0
S000217467412,다음해 트랜드에 관해 쉽게 설명되어 좋았어요,4,도움돼요,Ib****,2025-12-02,0,0
S000217467412,당연히 봐야하는 책~아닙니까,3,도움돼요,gh***************,2025-12-01,0,0
S000217467412,매년 트렌드를 알기위해 구매해서 읽는책입니다.,4,도움돼요,hi********,2025-12-01,0,0
S000217467412,후배에게 선물했습니다 그녀에게 도움이 되길 바랍니다,4,도움돼요,my******,2025-12-01,0,0
S000217467412,트렌드 코리아 2026,4,추천해요,gu*******,2025-11-30,0,0
S000217467412,"궁금해서 구매했어요.
26년에는어떤 트렌드가 있을까?",4,도움돼요,ji*****,2025-11-30,0,0
S000217467412,트렌드를 읽는 데 도움이 되요,4,도움돼요,fr***,2025-11-30,0,0
S000217467412,매년 잘보고 있어요,4,도움돼요,kh******,2025-11-30,0,0
S000217467412,도움이 많이 되고요 집중돼요,4,도움돼요,ks********,2025-11-30,0,0
S000217467412,"사회적 트렌드까지 알 수 있게 되는
책으로 전년도와는 또 어떻게 다른 트렌드가  만들어지는지 알려주는 책…",3,도움돼요,py*****,2025-11-30,0,0
S000217467412,"HORSE POWER
내년을 미리 대비합니다",4,집중돼요,ev*******,2025-11-29,0,0
S000217467412,읽을때마다 좋았어요,4,집중돼요,gu******************,2025-11-29,0,0
S000217467412,"항상 믿고 읽는 내용~, 내년에도 여러 흐름을 예상할 수 있어 많은 참조가 되었다.",4,최고예요,cj****,2025-11-29,0,0
S000217467412,GOOD GOOD 굿굿굿,4,도움돼요,mk****,2025-11-28,0,0
S000217467412,내용 정리가 잘되어있어서 가독성이 좋아요,4,집중돼요,ks*****************,2025-11-27,0,0
S000217467412,배송 너무하네요 이건 무슨 픽업가는게 빠르겠네요 빨리 받아보려고 회사로 배송 신청했는데 너무너무 불편합니다. 당일배송 거짓말이네요,1,추천해요,at******,2025-11-27,0,0
S000217467412,이전에 읽었던 트렌드코리아와는 확연히 다른 느낌입니다. 하나의 주제를 중심으로 여러 키워드가 엮여 있는게 아주 인상적이었어요.,4,추천해요,ki*******,2025-11-24,0,0
S000217467412,좋아요 추천해요  내년의 트렌드를 참고할 만 해요,4,추천해요,02*******,2025-11-24,0,0
S000217467412,26년의 트렌드를 미리 볼 수 있는책입니다.,4,도움돼요,db********,2025-11-24,0,0
S000217467412,2026년을 대비하는데 큰 도움이 됩니다,4,집중돼요,sm*****,2025-11-23,0,0
S000217467412,ㅈㅈㅈㅈㅈㅈㅈㅈㅊㅉ,4,추천해요,hj*****,2025-11-23,0,0
S000217467412,매년 구비하는 필독서~,4,도움돼요,eu*******,2025-11-22,0,0
S000217467412,2026년 되기 전에 읽으면 도움되는 책,4,추천해요,dy****,2025-11-22,0,0
S000217467412,매년 사서 읽어봅니다,4,도움돼요,an******,2025-11-22,0,0
S000217467412,아직많이 읽어보진않았습니다 매년 보다가 포기해서 이번엔 꼭 다읽어보려고요,3,추천해요,ya******************,2025-11-22,0,0
S000217467412,투자에 도움이 될까하여 구매했습니다. 아직 초반이지만 느낌이 좋습니다,4,도움돼요,jo******,2025-11-19,0,0
S000217467412,좋습니다 추천합니다,4,최고예요,ha*****,2025-11-19,0,0
S000217467412,숄더스 카라몔 베이지 외국 허스 하늘 의 힘 뉴욕 타임즈,4,도움돼요,yu*********,2025-11-19,0,0
S000217467412,매년 구매하는 책입니다,4,도움돼요,ka******,2025-11-19,0,0
S000217467412,매년 구입해 읽고 있어요~~,4,도움돼요,ul*******,2025-11-18,0,0
S000217467412,유명한 책이라 샀습니다! 아직 안읽었지만 열심히 읽겠습니다,4,도움돼요,gr*******,2025-11-17,0,0
S000217467412,키워드로 예측한 내년도 각분야 흐름을 쉽게 이해할수 있었습니다.,4,집중돼요,jj*****,2025-11-17,0,0
S000217467412,김난도 교수님의 트렌트 시리즈는 역작이죠!,4,최고예요,ys*******,2025-11-17,0,0
S000217467412,매년 10월이면 구매해서 보고 있어요.상당히 도움이 됩니다,4,도움돼요,pj*****,2025-11-17,0,0
S000217467412,5년째 읽는 트렌드 코리아~,4,도움돼요,eu*******,2025-11-16,0,0
S000217467412,트렌드 코리아 2026 재미 있어요,4,도움돼요,kc*****,2025-11-16,0,0
S000217467412,매년 개인적으로 도움을 받는 책 입니다,4,도움돼요,co*******,2025-11-16,0,0
S000217467412,좋습니다 좋네요 좋아요,3,도움돼요,jc****,2025-11-16,0,0
S000217467412,매년 한권으로 트랜드 파악할수 있어서 유익합니다 올해도 구입했네요,3,쉬웠어요,mu*******,2025-11-15,0,0
S000217467412,내년 혹은 향후 미래를 좀 더 구체적으로 상상할 수 있게되네요,4,도움돼요,jj*****,2025-11-15,0,0
S000217467412,"해마다 구입해서 읽어보는 도서입니다.
내년에는 또 어떤 트렌드가 있나하는 마음으로 보게되네요. 인사이트가 있어서 좋아요.",4,도움돼요,yu*****,2025-11-15,0,0
S000217467412,재미 있게 읽었습니다,4,최고예요,ja********,2025-11-14,0,0
S000217467412,새로운 트렌드 이해하는데 도움됩니다,4,도움돼요,jk****,2025-11-12,0,0
S000217467412,올해 트렌드 뿐 아니라 앞으로 바뀔 세상에 대해 진지하게 고민하게 해 주는 책이에요,4,도움돼요,sk********,2025-11-12,0,0
S000217467412,Ai로 인해 변화되는 우리의 트렌드를 잘 알 수 있었어요,4,도움돼요,me******,2025-11-12,0,0
S000217467412,"매년 보네요..
잘 읽었습니다",4,집중돼요,as*****,2025-11-12,0,0
S000217467412,좋아요 너무졸아요앙,4,쉬웠어요,je******,2025-11-11,0,0
S000217467412,2026을 대비하기위해 구입했어요,4,집중돼요,ib*******,2025-11-11,0,0
S000217467412,그냥 그래요.........,4,집중돼요,ot***,2025-11-11,0,0
S000217467412,그냥 그래요.........,4,집중돼요,ot***,2025-11-11,0,0
S000217467412,그냥 그래요.........,4,집중돼요,ot***,2025-11-11,0,0
S000217467412,"궁금하여 구매 올해는
좀 실망",4,도움돼요,in*****,2025-11-11,0,0
S000217467412,좋은 도서 잘 읽었습니다~ 감사,4,도움돼요,ro****,2025-11-11,0,0
S000217467412,"매년 필독서
트렌드를 잘 알게 돼요",4,도움돼요,li*******,2025-11-11,0,0
S000217467412,"매년 꼬박꼬박 챙겨보고 있습니다.
항상 좋은 인사이트를 줍니다.",4,도움돼요,sh********,2025-11-11,0,0
S000217467412,내년의 변화 트렌드 추적서,4,추천해요,ar****,2025-11-10,0,0
S000217467412,2026이 기대됩니다.,4,도움돼요,ji*******,2025-11-10,0,0
S000217467412,2025년 11월 나의 도서♡,4,도움돼요,ji*******,2025-11-10,0,0
S000217467412,무조건 읽어야지요. 매일 모든 신문사의 신문을 읽으신다는 교수님 응원합니다.,4,도움돼요,de********,2025-11-09,0,0
S000217467412,재미있고 유익합니다.,4,집중돼요,su******,2025-11-09,0,0
S000217467412,재미있고 유익합니다.,4,집중돼요,su******,2025-11-09,0,0
S000217467412,재미있고 유익합니다.,4,집중돼요,su******,2025-11-09,0,0
S000217467412,재미있게 잘 읽었습니다.,4,최고예요,ey*****,2025-11-09,0,0
